"","blue","dual_sim","four_g","three_g","touch_screen","wifi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
"435","0","1","0","1","1","1","(701,800]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(104,116]","(2.75,4.5]","(4,8]","[-1.96,392]","(800,949]","[252,630]","(16.2,19]","(7.2,10.8]","(14,17]","0"
"436","1","0","0","1","0","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.28,0.46]","(128,140]","[0.993,2.75]","(8,12]","[-1.96,392]","(949,1.1e+03]","[252,630]","(16.2,19]","[-0.018,3.6]","[1.98,5]","0"
"440","0","0","0","0","1","0","(1.4e+03,1.5e+03]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.64,0.82]","(116,128]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0"
"441","1","1","0","0","0","0","(1.3e+03,1.4e+03]","(2,2.5]","(3.8,7.6]","(51.6,57.8]","(0.82,1]","(128,140]","(6.25,8.01]","(8,12]","(392,784]","(800,949]","(1e+03,1.38e+03]","(13.4,16.2]","[-0.018,3.6]","(5,8]","0"
"445","0","1","1","1","0","0","(1.6e+03,1.7e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(188,200]","(6.25,8.01]","(8,12]","[-1.96,392]","(1.85e+03,2e+03]","[252,630]","(10.6,13.4]","(3.6,7.2]","(11,14]","0"
"446","0","1","0","0","0","1","(1.6e+03,1.7e+03]","(1.5,2]","(3.8,7.6]","(26.8,33]","(0.28,0.46]","(176,188]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(5,8]","0"
"454","0","0","1","1","1","0","(1.2e+03,1.3e+03]","[0.497,1]","(7.6,11.4]","(20.6,26.8]","(0.82,1]","(176,188]","(4.5,6.25]","(8,12]","(392,784]","(800,949]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"460","1","0","1","1","1","0","[500,601]","[0.497,1]","(3.8,7.6]","(39.2,45.4]","[0.0991,0.28]","(176,188]","(2.75,4.5]","(8,12]","(392,784]","(800,949]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"464","1","1","0","0","1","0","(900,1e+03]","(1,1.5]","(3.8,7.6]","(8.2,14.4]","(0.82,1]","(104,116]","[0.993,2.75]","(12,16]","[-1.96,392]","(949,1.1e+03]","(1e+03,1.38e+03]","(7.8,10.6]","(7.2,10.8]","(8,11]","0"
"465","1","1","1","1","0","0","(1e+03,1.1e+03]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","(0.46,0.64]","(116,128]","(6.25,8.01]","(12,16]","(392,784]","(1.85e+03,2e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(8,11]","0"
"468","0","0","0","1","1","1","(1.4e+03,1.5e+03]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(128,140]","(6.25,8.01]","(8,12]","[-1.96,392]","(650,800]","[252,630]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"469","0","0","1","1","1","0","(701,800]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(650,800]","(1e+03,1.38e+03]","(10.6,13.4]","[-0.018,3.6]","(14,17]","0"
"474","1","0","1","1","1","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(92,104]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(1.38e+03,1.75e+03]","[4.99,7.8]","[-0.018,3.6]","(17,20]","0"
"478","0","0","0","0","0","0","(601,701]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.28,0.46]","(92,104]","(2.75,4.5]","(16,20]","(392,784]","[499,650]","(630,1e+03]","(7.8,10.6]","[-0.018,3.6]","(11,14]","0"
"481","1","0","1","1","0","1","(1.4e+03,1.5e+03]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","(0.82,1]","(104,116]","(4.5,6.25]","[-0.02,4]","(392,784]","(1.55e+03,1.7e+03]","[252,630]","(10.6,13.4]","[-0.018,3.6]","(5,8]","0"
"483","1","1","0","0","0","1","(1.3e+03,1.4e+03]","(1,1.5]","(11.4,15.2]","[1.94,8.2]","(0.28,0.46]","[79.9,92]","(4.5,6.25]","(16,20]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","(8,11]","0"
"486","0","0","1","1","1","1","(1.2e+03,1.3e+03]","(2.5,3]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(188,200]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(949,1.1e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(11,14]","0"
"491","0","0","0","1","0","1","(601,701]","(2.5,3]","(3.8,7.6]","(14.4,20.6]","(0.28,0.46]","(164,176]","(4.5,6.25]","(16,20]","(392,784]","(800,949]","(1e+03,1.38e+03]","(7.8,10.6]","[-0.018,3.6]","(17,20]","0"
"494","0","1","0","0","1","0","(1.9e+03,2e+03]","(2.5,3]","(3.8,7.6]","(45.4,51.6]","(0.64,0.82]","(116,128]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","(17,20]","0"
"501","1","1","0","0","0","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(92,104]","(6.25,8.01]","(12,16]","(392,784]","(650,800]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","(17,20]","0"
"504","0","0","1","1","1","1","(1.4e+03,1.5e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(164,176]","(6.25,8.01]","(4,8]","(392,784]","(1.55e+03,1.7e+03]","(630,1e+03]","(16.2,19]","(10.8,14.4]","(8,11]","0"
"505","1","0","0","1","1","1","(1.6e+03,1.7e+03]","(1,1.5]","[-0.019,3.8]","(26.8,33]","(0.28,0.46]","(116,128]","[0.993,2.75]","[-0.02,4]","(392,784]","(800,949]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(8,11]","0"
"513","1","1","0","1","0","0","(1.6e+03,1.7e+03]","(2,2.5]","(7.6,11.4]","[1.94,8.2]","(0.46,0.64]","(188,200]","[0.993,2.75]","(12,16]","(392,784]","(1.7e+03,1.85e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(17,20]","0"
"531","1","0","1","1","1","0","(1e+03,1.1e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","(0.64,0.82]","(116,128]","(4.5,6.25]","(4,8]","[-1.96,392]","(800,949]","(630,1e+03]","(16.2,19]","[-0.018,3.6]","(8,11]","0"
"532","1","1","0","1","1","0","[500,601]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(188,200]","(4.5,6.25]","(8,12]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","(5,8]","0"
"537","0","0","1","1","1","1","[500,601]","(2,2.5]","(7.6,11.4]","(33,39.2]","(0.82,1]","(152,164]","(4.5,6.25]","(16,20]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","(17,20]","0"
"541","1","1","0","1","0","1","[500,601]","[0.497,1]","(3.8,7.6]","(14.4,20.6]","[0.0991,0.28]","(164,176]","[0.993,2.75]","(8,12]","(392,784]","(1.55e+03,1.7e+03]","(630,1e+03]","(16.2,19]","(14.4,18]","(14,17]","0"
"553","0","0","0","1","1","0","(701,800]","(2.5,3]","[-0.019,3.8]","(39.2,45.4]","[0.0991,0.28]","(92,104]","(6.25,8.01]","[-0.02,4]","(392,784]","(650,800]","(1.38e+03,1.75e+03]","(16.2,19]","[-0.018,3.6]","(5,8]","0"
"555","1","0","1","1","1","1","(1.4e+03,1.5e+03]","(1.5,2]","(3.8,7.6]","(20.6,26.8]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.1e+03,1.25e+03]","(630,1e+03]","(13.4,16.2]","(7.2,10.8]","(8,11]","0"
"556","1","1","0","0","1","1","(1.2e+03,1.3e+03]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(116,128]","(4.5,6.25]","(4,8]","(392,784]","(650,800]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"560","0","1","0","1","1","1","(1.1e+03,1.2e+03]","(2,2.5]","[-0.019,3.8]","(8.2,14.4]","(0.82,1]","(164,176]","[0.993,2.75]","(4,8]","[-1.96,392]","(1.7e+03,1.85e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"566","1","0","0","0","0","1","(1.2e+03,1.3e+03]","[0.497,1]","(11.4,15.2]","(26.8,33]","[0.0991,0.28]","(104,116]","(6.25,8.01]","(12,16]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(11,14]","0"
"567","1","0","0","1","1","0","(1.1e+03,1.2e+03]","(1,1.5]","(3.8,7.6]","(26.8,33]","(0.28,0.46]","[79.9,92]","(6.25,8.01]","(12,16]","[-1.96,392]","(1.7e+03,1.85e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","(5,8]","0"
"575","0","0","0","1","0","1","(1.9e+03,2e+03]","[0.497,1]","(3.8,7.6]","(20.6,26.8]","(0.28,0.46]","[79.9,92]","(6.25,8.01]","(12,16]","[-1.96,392]","[499,650]","(630,1e+03]","[4.99,7.8]","(3.6,7.2]","(5,8]","0"
"578","0","0","0","0","0","1","(900,1e+03]","(1,1.5]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(104,116]","(4.5,6.25]","(8,12]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"579","0","1","1","1","0","0","(1.1e+03,1.2e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","[79.9,92]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.1e+03,1.25e+03]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(14,17]","0"
"583","0","1","1","1","0","0","(1.2e+03,1.3e+03]","(2.5,3]","[-0.019,3.8]","(20.6,26.8]","(0.28,0.46]","(164,176]","(4.5,6.25]","(16,20]","[-1.96,392]","(800,949]","(1e+03,1.38e+03]","(13.4,16.2]","(7.2,10.8]","(14,17]","0"
"584","1","1","1","1","1","0","(1.8e+03,1.9e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(188,200]","(2.75,4.5]","(4,8]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(7.8,10.6]","[-0.018,3.6]","(11,14]","0"
"586","1","1","1","1","0","1","(701,800]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","[0.0991,0.28]","[79.9,92]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.4e+03,1.55e+03]","[252,630]","[4.99,7.8]","(3.6,7.2]","(5,8]","0"
"587","1","0","1","1","1","1","(701,800]","(2.5,3]","(7.6,11.4]","(26.8,33]","[0.0991,0.28]","[79.9,92]","[0.993,2.75]","(8,12]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(1e+03,1.38e+03]","(7.8,10.6]","[-0.018,3.6]","(8,11]","0"
"590","0","1","0","0","1","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","(0.64,0.82]","(188,200]","(4.5,6.25]","[-0.02,4]","(392,784]","(949,1.1e+03]","(630,1e+03]","(10.6,13.4]","[-0.018,3.6]","(5,8]","0"
"596","0","1","0","0","0","1","(601,701]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","(0.46,0.64]","(140,152]","(2.75,4.5]","[-0.02,4]","(392,784]","(650,800]","[252,630]","(16.2,19]","(10.8,14.4]","(8,11]","0"
"599","0","0","1","1","0","0","(1.1e+03,1.2e+03]","(2,2.5]","(3.8,7.6]","[1.94,8.2]","(0.82,1]","(164,176]","(4.5,6.25]","(4,8]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(14,17]","0"
"600","1","0","1","1","0","0","(1.8e+03,1.9e+03]","(2,2.5]","(3.8,7.6]","(8.2,14.4]","[0.0991,0.28]","(188,200]","(6.25,8.01]","(12,16]","[-1.96,392]","[499,650]","[252,630]","(16.2,19]","(14.4,18]","(11,14]","0"
"603","1","0","0","0","0","0","(1.7e+03,1.8e+03]","(1.5,2]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(116,128]","(6.25,8.01]","(4,8]","[-1.96,392]","(800,949]","[252,630]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"608","0","1","1","1","1","1","(900,1e+03]","(1,1.5]","[-0.019,3.8]","(33,39.2]","(0.82,1]","(176,188]","(6.25,8.01]","(12,16]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(16.2,19]","(3.6,7.2]","[1.98,5]","0"
"611","1","0","0","0","0","1","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(176,188]","(2.75,4.5]","(4,8]","(392,784]","(800,949]","(630,1e+03]","(16.2,19]","(7.2,10.8]","(14,17]","0"
"614","1","0","0","1","0","1","[500,601]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(116,128]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"627","1","1","1","1","0","0","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","(176,188]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(949,1.1e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(17,20]","0"
"629","1","1","1","1","1","1","(1.3e+03,1.4e+03]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","(0.46,0.64]","(104,116]","(4.5,6.25]","[-0.02,4]","(392,784]","(800,949]","(1e+03,1.38e+03]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"631","1","0","0","1","0","0","(1.6e+03,1.7e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(116,128]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(7.8,10.6]","(7.2,10.8]","(17,20]","0"
"641","0","0","0","0","0","0","[500,601]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.64,0.82]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(650,800]","(1.38e+03,1.75e+03]","(16.2,19]","[-0.018,3.6]","(8,11]","0"
"643","1","0","1","1","1","0","(1e+03,1.1e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","(0.82,1]","(92,104]","(4.5,6.25]","(8,12]","[-1.96,392]","(800,949]","(630,1e+03]","(13.4,16.2]","(3.6,7.2]","[1.98,5]","0"
"645","0","0","1","1","0","0","(1.7e+03,1.8e+03]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","(164,176]","(4.5,6.25]","(4,8]","[-1.96,392]","(1.55e+03,1.7e+03]","[252,630]","[4.99,7.8]","(3.6,7.2]","(11,14]","0"
"647","1","1","1","1","1","0","[500,601]","[0.497,1]","(3.8,7.6]","(57.8,64.1]","(0.64,0.82]","(128,140]","(4.5,6.25]","(4,8]","(392,784]","(949,1.1e+03]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0"
"653","1","1","0","1","0","1","(1.4e+03,1.5e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(176,188]","(6.25,8.01]","(16,20]","[-1.96,392]","(1.4e+03,1.55e+03]","(630,1e+03]","(13.4,16.2]","(3.6,7.2]","(11,14]","0"
"655","1","1","1","1","1","1","(601,701]","[0.497,1]","(3.8,7.6]","(51.6,57.8]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","(12,16]","[-1.96,392]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(7.2,10.8]","(8,11]","0"
"661","0","0","0","1","0","0","[500,601]","(1.5,2]","[-0.019,3.8]","(33,39.2]","(0.28,0.46]","(176,188]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.7e+03,1.85e+03]","(630,1e+03]","(16.2,19]","(7.2,10.8]","(8,11]","0"
"662","0","0","1","1","1","1","(1.8e+03,1.9e+03]","(2.5,3]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(188,200]","(6.25,8.01]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","[252,630]","(16.2,19]","(3.6,7.2]","[1.98,5]","0"
"665","1","0","1","1","1","1","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(140,152]","(2.75,4.5]","[-0.02,4]","(392,784]","(650,800]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"666","1","1","1","1","1","1","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","(26.8,33]","(0.46,0.64]","(116,128]","(2.75,4.5]","(4,8]","(784,1.18e+03]","(949,1.1e+03]","(630,1e+03]","(16.2,19]","[-0.018,3.6]","[1.98,5]","0"
"667","1","1","0","0","0","0","(800,900]","(2,2.5]","(3.8,7.6]","(39.2,45.4]","(0.46,0.64]","(188,200]","(6.25,8.01]","(12,16]","(784,1.18e+03]","(1.85e+03,2e+03]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"673","1","1","0","0","1","0","(1.9e+03,2e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","(164,176]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","[252,630]","(10.6,13.4]","(3.6,7.2]","(11,14]","0"
"674","1","0","0","0","1","0","(701,800]","[0.497,1]","(3.8,7.6]","(26.8,33]","(0.64,0.82]","(140,152]","(4.5,6.25]","(8,12]","(392,784]","(800,949]","(1.38e+03,1.75e+03]","(10.6,13.4]","(10.8,14.4]","(17,20]","0"
"675","0","1","1","1","0","0","(1e+03,1.1e+03]","(2.5,3]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(188,200]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","(5,8]","0"
"680","0","0","0","1","0","1","(601,701]","(2,2.5]","(7.6,11.4]","(57.8,64.1]","(0.82,1]","(140,152]","(4.5,6.25]","(12,16]","[-1.96,392]","(650,800]","(1.38e+03,1.75e+03]","[4.99,7.8]","[-0.018,3.6]","(11,14]","0"
"686","0","0","0","0","1","1","(1.3e+03,1.4e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(128,140]","(6.25,8.01]","(8,12]","(392,784]","(1.4e+03,1.55e+03]","(630,1e+03]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"688","0","1","0","0","0","1","(701,800]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(152,164]","[0.993,2.75]","[-0.02,4]","(392,784]","(949,1.1e+03]","(1e+03,1.38e+03]","(16.2,19]","[-0.018,3.6]","(5,8]","0"
"689","0","1","1","1","1","1","(1.3e+03,1.4e+03]","(2.5,3]","(7.6,11.4]","(39.2,45.4]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(8,12]","[-1.96,392]","[499,650]","[252,630]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0"
"692","0","0","0","0","1","0","(1.4e+03,1.5e+03]","(2.5,3]","(3.8,7.6]","(51.6,57.8]","[0.0991,0.28]","[79.9,92]","(2.75,4.5]","(12,16]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","[252,630]","(10.6,13.4]","[-0.018,3.6]","(14,17]","0"
"700","1","1","1","1","1","1","(1.9e+03,2e+03]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(164,176]","(2.75,4.5]","(8,12]","(1.18e+03,1.57e+03]","(1.4e+03,1.55e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0"
"701","1","1","1","1","1","0","[500,601]","(2,2.5]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","(188,200]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0"
"703","0","0","1","1","1","0","[500,601]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(104,116]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(800,949]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(17,20]","0"
"710","1","0","1","1","1","0","(1.6e+03,1.7e+03]","[0.497,1]","(7.6,11.4]","(20.6,26.8]","(0.64,0.82]","(164,176]","(6.25,8.01]","(12,16]","(392,784]","(1.25e+03,1.4e+03]","[252,630]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0"
"714","1","1","1","1","1","0","(1.1e+03,1.2e+03]","(1,1.5]","(11.4,15.2]","[1.94,8.2]","(0.28,0.46]","(164,176]","(6.25,8.01]","(16,20]","[-1.96,392]","(1.7e+03,1.85e+03]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"717","0","1","1","1","0","1","(800,900]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(128,140]","(2.75,4.5]","(12,16]","(392,784]","(1.7e+03,1.85e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(17,20]","0"
"724","0","1","0","0","1","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","(392,784]","(650,800]","(630,1e+03]","(13.4,16.2]","(10.8,14.4]","(5,8]","0"
"731","0","1","1","1","0","0","(1e+03,1.1e+03]","[0.497,1]","(7.6,11.4]","[1.94,8.2]","(0.28,0.46]","(164,176]","(4.5,6.25]","(8,12]","[-1.96,392]","(1.55e+03,1.7e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(5,8]","0"
"733","1","0","1","1","1","0","(900,1e+03]","[0.497,1]","(11.4,15.2]","(39.2,45.4]","(0.64,0.82]","(92,104]","(6.25,8.01]","(16,20]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(630,1e+03]","(13.4,16.2]","(7.2,10.8]","(11,14]","0"
"736","1","0","0","0","1","0","(701,800]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.82,1]","[79.9,92]","(2.75,4.5]","(4,8]","[-1.96,392]","(800,949]","(630,1e+03]","(10.6,13.4]","[-0.018,3.6]","(17,20]","0"
"737","0","0","0","0","0","1","[500,601]","(2,2.5]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(176,188]","(4.5,6.25]","(8,12]","(392,784]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","(14,17]","0"
"757","0","0","1","1","1","1","[500,601]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(128,140]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.4e+03,1.55e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","(17,20]","0"
"759","0","1","1","1","1","1","(1.2e+03,1.3e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","[0.0991,0.28]","(164,176]","(2.75,4.5]","[-0.02,4]","(392,784]","(800,949]","[252,630]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","0"
"761","1","1","1","1","1","0","(1.4e+03,1.5e+03]","(1.5,2]","(3.8,7.6]","(33,39.2]","(0.28,0.46]","(152,164]","(2.75,4.5]","(16,20]","[-1.96,392]","(800,949]","[252,630]","(13.4,16.2]","(3.6,7.2]","(8,11]","0"
"762","1","0","1","1","1","1","[500,601]","(2.5,3]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(140,152]","(4.5,6.25]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(5,8]","0"
"763","0","0","0","1","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(128,140]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(1.85e+03,2e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"766","0","0","1","1","1","0","(701,800]","(2,2.5]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","(164,176]","(6.25,8.01]","(8,12]","(392,784]","(1.4e+03,1.55e+03]","(1.38e+03,1.75e+03]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"772","1","0","1","1","0","0","[500,601]","[0.497,1]","(15.2,19]","(20.6,26.8]","[0.0991,0.28]","(140,152]","[0.993,2.75]","(16,20]","(392,784]","(1.85e+03,2e+03]","[252,630]","(16.2,19]","(3.6,7.2]","(5,8]","0"
"775","0","0","0","1","0","1","(900,1e+03]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(116,128]","(6.25,8.01]","[-0.02,4]","(392,784]","[499,650]","[252,630]","(16.2,19]","(3.6,7.2]","(17,20]","0"
"776","0","0","1","1","0","1","(1.1e+03,1.2e+03]","(1,1.5]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(164,176]","(2.75,4.5]","[-0.02,4]","(392,784]","(800,949]","[252,630]","(16.2,19]","(3.6,7.2]","(14,17]","0"
"777","0","1","1","1","1","1","(800,900]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(152,164]","[0.993,2.75]","(12,16]","(392,784]","(800,949]","(1.38e+03,1.75e+03]","(13.4,16.2]","[-0.018,3.6]","(14,17]","0"
"780","1","1","1","1","0","0","(800,900]","(2,2.5]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","[79.9,92]","(6.25,8.01]","[-0.02,4]","(392,784]","(800,949]","(1e+03,1.38e+03]","(7.8,10.6]","(3.6,7.2]","(14,17]","0"
"784","0","1","0","0","0","1","(1e+03,1.1e+03]","(1.5,2]","(7.6,11.4]","(8.2,14.4]","[0.0991,0.28]","(140,152]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(949,1.1e+03]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","(11,14]","0"
"786","0","0","0","0","1","0","(900,1e+03]","(1,1.5]","(3.8,7.6]","(51.6,57.8]","(0.46,0.64]","(176,188]","(6.25,8.01]","(16,20]","(392,784]","(1.4e+03,1.55e+03]","(630,1e+03]","(16.2,19]","(7.2,10.8]","(11,14]","0"
